id,aligned_id,line,work_id
1,1,A cartomante,CO139MA
2,2,Hamlet observa a Horácio que há mais cousas no céu e na terra do que sonha a nossa filosofia.,CO139MA
3,3,"Era amesma explicação que dava a bela Rita ao moço Camilo, numa sexta-feira de novembro de 1869, quando este ria dela, por ter ido na véspera consultar uma cartomante; a diferença é que o fazia por outras palavras.",CO139MA
4,4,"— Ria, ria. Os homens são assim; não acreditam em nada. Pois saiba que fui, e que ela adivinhou o motivo da consulta, antes mesmo que eu lhe dissesse o que era. Apenas começou a botar as cartas, disse-me: ""A senhora gosta de uma pessoa..."".",CO139MA
5,5,"Confessei que sim, e então ela continuou a botar as cartas, combinou-as, e no fim declarou-me que eu tinha medo de que você me esquecesse, mas que não era verdade...",CO139MA
6,6,"— Errou! — interrompeu Camilo, rindo.",CO139MA
7,7,"— Não diga isso, Camilo. Se você soubesse como eu tenho andado, por sua causa. Você sabe; já lhe disse. Não ria de mim, não ria...",CO139MA
8,8,"Camilo pegou-lhe nas mãos, e olhou para ela sério e fixo. Jurou que lhe queria muito, que os seus sustos pareciam de criança; em todo o caso, quando tivesse algum receio, a melhor cartomante era ele mesmo. Depois, repreendeu-a; disse-lhe que era imprudente andar por essas casas. Vilela podia sabê-lo, e depois...",CO139MA
9,9,"— Qual saber!Tive muita cautela, ao entrar na casa.",CO139MA
10,10,— Onde é a casa?,CO139MA
11,11,"— Aqui perto, na rua da Guarda Velha; não passava ninguém nessa ocasião. Descansa; eu não sou maluca.",CO139MA
12,12,Camilo riu outra vez:,CO139MA
13,13,— Tu crês deveras nessas cousas? — perguntou-lhe.,CO139MA
14,14,"Foi então que ela, sem saber que traduzia Hamlet em vulgar, disse-lhe que havia muita cousa misteriosa e verdadeira neste mundo. Se ele não acreditava, paciência; mas o certo é que a cartomante adivinhara tudo. Que mais? A prova é que ela agora estava tranquila e satisfeita.",CO139MA
15,15,"Cuido que ele ia falar, mas reprimiu-se. Não queria arrancar-lhe as ilusões. Também ele, em criança, e ainda depois, foi supersticioso, teve um arsenal inteiro de crendices, que a mãe lhe incutiu e que aos vinte anos desapareceram.",CO139MA
16,16,"No dia em que deixou cair toda essa vegetação parasita, e ficou só o tronco da religião, ele, como tivesse recebido da mãe ambos os ensinos, envolveu-os na mesma dúvida, e logo depois em uma só negação total.",CO139MA
17,17,Camilo não acreditava em nada. Por quê?,CO139MA
18,18,"Não poderia dizê-lo, não possuía um só argumento: limitava-se a negar tudo. E digo mal, porque negar é ainda afirmar, e ele não formulava a incredulidade; diante do mistério, contentou-se em levantar os ombros, e foi andando.",CO139MA
19,19,"Separaram-se contentes, ele ainda mais que ela. Rita estava certa de ser amada; Camilo não só o estava, mas via-a estremecer e arriscar-se por ele, correr às cartomantes, e, por mais que a repreendesse, não podia deixar de sentir-se lisonjeado.",CO139MA
20,20,"A casa do encontro era na antiga rua dos Barbonos, onde morava uma comprovinciana de Rita. Esta desceu pela rua das Mangueiras, na direção de Botafogo, onde residia; Camilo desceu pela da Guarda Velha, olhando de passagem para a casa da cartomante.",CO139MA
21,21,"Vilela, Camilo e Rita, três nomes, uma aventura e nenhuma explicação das origens. Vamos a ela. Os dois primeiros eram amigos de infância. Vilela seguiu a carreira de magistrado. Camilo entrou no funcionalismo, contra a vontade do pai, que queria vê-lo médico; mas o pai morreu, e Camilo preferiu não ser nada, até que a mãe lhe arranjou um emprego público.",CO139MA
22,22,"No princípio de 1869, voltou Vilela da província, onde casara com uma dama formosa e tonta; abandonou a magistratura e veio abrir banca de advogado. Camilo arranjou-lhe casa para os lados de Botafogo, e foi a bordo recebê-lo.",CO139MA
