id,aligned_id,line,work_id
1,1,The Fortune Teller_Brazilian Tales_eng,CO139CL01
2,2,Hamlet observes to Horatio that there are more things in heaven and earth than are dreamt of in our philosophy.,CO139CL01
3,3,"This was the selfsame explanation that was given by beautiful Rita to her lover, Camillo, on a certain Friday of November, 1869, when Camillo laughed at her for having gone, the previous evening, to consult a fortune-teller. The only difference is that she made her explanation in other words.",CO139CL01
4,4,"""Laugh, laugh. That's just like you men; you don't believe in anything. Well, let me tell you, I went there and she guessed the reason for my coming before I ever spoke a word. Scarcely had she begun to lay out the cards when she said to me: 'The lady likes a certain person ...'",CO139CL01
5,5,"I confessed that it was so, and then she continued to rearrange the cards in various combinations, finally telling me that I was afraid you would forget me, but that there were no grounds for my fear.""",CO139CL01
6,6,"""She was wrong!"" interrupted Camillo with a laugh.",CO139CL01
7,7,"""Don't say that, Camillo. If you only realized in what anguish I went there, all on account of you. You know. I've told you before. Don't laugh at me; don't poke fun at me....""",CO139CL01
8,8,"Camillo seized her hands and gazed into her eyes earnestly and long. He swore that he loved her ever so much, that her fears were childish; in any case, should she ever harbor a fear, the best fortune-teller to consult was he himself. Then he reproved her, saying that it was imprudent to visit such houses. Villela might learn of it, and then ...",CO139CL01
9,9,"""Impossible! I was exceedingly careful when I entered the place.""",CO139CL01
10,10,"""Where is the house?""",CO139CL01
11,11,"""Near here. On Guarda-Velha Street. Nobody was passing by at the time. Rest easy. I'm not a fool.""",CO139CL01
12,12,Camillo laughed again.,CO139CL01
13,13,"""Do you really believe in such things?"" he asked.",CO139CL01
14,14,"It was at this point that she translated Hamlet into every-day speech, assuring her lover that there was many a true, mysterious thing in this world. If he was skeptical, let him have patience. One thing, however, was certain: the card reader had guessed everything. What more could he desire? The best proof was that at this moment she was at ease and content.",CO139CL01
15,15,"He was about to speak, but he restrained himself. He did not wish to destroy her illusions. He, too, when a child, and even later, had been superstitious, filled with an arsenal of beliefs which his mother had instilled, and which had disappeared by the time he reached twenty.",CO139CL01
16,16,"The day on which he rid himself of all this parasitic vegetation, leaving behind only the trunk of religion, he wrapped his superstition and his religion (which had both been inculcated by his mother) in the same doubt, and soon arrived at a single, total negation.",CO139CL01
17,17,Camillo believed in nothing. Why?,CO139CL01
18,18,"He could not have answered; he had not a solitary reason; he was content simply to deny everything. But I express myself ill, for to deny is in a sense to affirm, and he did not formulate his unbelief. Before the great mystery he simply shrugged his shoulders and went on.",CO139CL01
