id,aligned_id,line,work_id
1,1,MEMÓRIAS PÓSTUMAS DE BRÁS CUBAS,RO005MA
2,2,MEMÓRIAS PÓSTUMAS DE BRÁS CUBAS,RO005MA
3,3,AO VERME QUE PRIMEIRO ROEU AS FRIAS CARNES DO MEU CADÁVER DEDICO COMO SAUDOSA LEMBRANÇA DEDICO ESTAS MEMÓRIAS PÓSTUMAS,RO005MA
4,4,PRÓLOGO DA QUARTA EDIÇÃO,RO005MA
5,5,"A primeira edição destas Memórias póstumas de Brás Cubas foi feita aos pedaços na Revista Brasileira, pelos anos de 1880. Postas mais tarde em livro, corrigi o texto em vários lugares. Agora que tive de o rever para a terceira edição, emendei ainda alguma cousa e suprimi duas ou três dúzias de linhas. Assim composto, sai novamente à luz esta obra que alguma benevolência parece ter encontrado no público.",RO005MA
6,6,"Capistrano de Abreu, noticiando a publicação do livro, perguntava: ""As Memórias póstumas de Brás Cubas são um romance?"" Macedo Soares, em carta que me escreveu por esse tempo, recordava amigamente as Viagens na minha terra. Ao primeiro respondia já o defunto Brás Cubas (como o leitor viu e verá no prólogo dele que vai adiante) que sim e que não, que era romance para uns e não o era para outros. Quanto ao segundo, assim se explicou o finado: ""Trata-se de uma obra difusa, na qual eu, Brás Cubas, se adotei a forma livre de um Sterne ou de um Xavier de Maistre, não sei se lhe meti algumas rabugens de pessimismo."" Toda essa gente viajou: Xavier de Maistre, à roda do quarto, Garrett, na terra dele, Sterne, na terra dos outros. De Brás Cubas se pode talvez dizer que viajou à roda da vida.",RO005MA
7,7,"O que faz do meu Brás Cubas um autor particular é o que ele chama ""rabugens de pessimismo"". Há na alma deste livro, por mais risonho que pareça, um sentimento amargo e áspero, que está longe de vir dos seus modelos. É taça que pode ter lavores de igual escola, mas leva outro vinho. Não digo mais para não entrar na crítica de um defunto, que se pintou a si e a outros, conforme lhe pareceu melhor e mais certo.",RO005MA
8,8,Machado de Assis,RO005MA
9,9,AO LEITOR,RO005MA
10,10,"Que Stendhal confessasse haver escrito um de seus livros para cem leitores, cousa é que admira e consterna. O que não admira, nem provavelmente consternará é se este outro livro não tiver os cem leitores de Stendhal, nem cinquenta, nem vinte, e quando muito, dez. Dez? Talvez cinco. Trata-se, na verdade, de uma obra difusa, na qual eu, Brás Cubas, se adotei a forma livre de um Sterne, ou de um Xavier de Maistre, não sei se lhe meti algumas rabugens de pessimismo. Pode ser. Obra de finado. Escrevi-a com a pena da galhofa e a tinta da melancolia, e não é difícil antever o que poderá sair desse conúbio. Acresce que a gente grave achará no livro umas aparências de puro romance, ao passo que a gente frívola não achará nele o seu romance usual; ei-lo aí fica privado da estima dos graves e do amor dos frívolos, que são as duas colunas máximas da opinião.",RO005MA
