ANO,CONTO,GÊNERO,ORDEM,AUTOR,CÓDIGO PT,COM OU SEM TRADUÇÃO,Brazilian Tales,A Chapter of Hats,The Alienist,The Alienist and other stories,Midnight Mass & Other Stories,Ex-Cathedra,Miss Dolar,Trio in A-Minor,The Collected Stories of Machado de Assis,26 Stories,The Devil's Church and Other Stories,The Devil’s Church
,,,,,,Yes,CL01,CL04,CL05,CL06,CL08,CL07,CL09,CL11,CL10,CL12,CL03,CL13
1864,Casada e Viúva (1864),CO,1,MA,CO001MA,,,,,,,,,,,,,
1864,Frei Simão (1864),CO,2,MA,CO002MA,Yes,,,,,,,CO002CL09,,CO002CL10,,,
1864,O Anjo das Donzelas (1864),CO,3,MA,CO003MA,,,,,,,,,,,,,
1864,Virginius (1864),CO,4,MA,CO004MA,,,,,,,,,,,,,
1865,Cinco Mulheres (1865),CO,5,MA,CO005MA,,,,,,,,,,,,,
1865,Confissões de Uma Viúva Moça (1865),CO,6,MA,CO006MA,Yes,,,,,,,CO006CL09,,CO006CL10,,,
1865,O Teles e o Tobias (1865),CO,7,MA,CO007MA,,,,,,,,,,,,,
1865,Questão de Vaidade (1865),CO,8,MA,CO008MA,,,,,,,,,,,,,
1866,A Pianista (1866),CO,9,MA,CO009MA,,,,,,,,,,,,,
1866,Astúcias de Marido (1866),CO,10,MA,CO010MA,,,,,,,,,,,,,
1866,Diana (1866),CO,11,MA,CO011MA,,,,,,,,,,,,,
1866,Felicidade Pelo Casamento (1866),CO,12,MA,CO012MA,,,,,,,,,,,,,
1866,Linha Reta e Linha Curva (1866),CO,13,MA,CO013MA,Yes,,,,,,,,CO013CL11,CO013CL10,,,
1866,O Oráculo (1866),CO,14,MA,CO014MA,,,,,,,,,,,,,
1866,O Pai (1866),CO,15,MA,CO015MA,,,,,,,,,,,,,
1866,O Que São as Moças (1866),CO,16,MA,CO016MA,,,,,,,,,,,,,
1866,Uma Excursão Milagrosa (1866),CO,17,MA,CO017MA,,,,,,,,,,,,,
1867,Francisca (1867),CO,18,MA,CO018MA,,,,,,,,,,,,,
1867,História de uma Lágrima (1867),CO,19,MA,CO019MA,,,,,,,,,,,,,
1867,O Último Dia de um Poeta (1867),CO,20,MA,CO020MA,,,,,,,,,,,,,
1867,Onda (1867),CO,21,MA,CO021MA,,,,,,,,,,,,,
1867,Possível e Impossível (1867),CO,22,MA,CO022MA,,,,,,,,,,,,,
1868,A Mulher de Preto (1868),CO,23,MA,CO023MA,Yes,,,,,,,CO023CL09,,CO023CL10,,,
1868,Não É o Mel Para a Boca do Asno (1868),CO,24,MA,CO024MA,,,,,,,,,,,,,
1868,O Carro Nº13 (1868),CO,25,MA,CO025MA,Yes,,,,,,,CO025CL09,,,,,
1868,O Segredo de Augusta (1868),CO,26,MA,CO026MA,Yes,,,,,,,CO026CL09,,CO026CL10,CO026CL12,,
1868,Quinhentos Contos (1868),CO,27,MA,CO027MA,,,,,,,,,,,,,
1869,Luís Soares (1869),CO,28,MA,CO028MA,Yes,,,,,,,,CO028CL11,CO028CL10,,,
1869,O Anjo Rafael (1869),CO,29,MA,CO029MA,,,,,,,,,,,,,
1870,A Vida Eterna (1870),CO,30,MA,CO030MA,,,,,,,,,,,,,
1870,Aurora Sem Dia (1870),CO,31,MA,CO031MA,Yes,,,,,,,,,CO031CL10,,,
1870,Miss Dollar (1870),CO,32,MA,CO032MA,Yes,,,,,CO032CL08,,CO032CL09,,CO032CL10,,,
1870,O Capitão Mendonça (1870),CO,33,MA,CO033MA,Yes,,,,,CO033CL08,,,,,,,
1870,O Rei dos Caiporas (1870),CO,34,MA,CO034MA,,,,,,,,,,,,,
1871,A Felicidade (1871),CO,35,MA,CO035MA,,,,,,,,,,,,,
