publication_year,title_portuguese,title_english,genre,collection,translator,publisher,city,country,work_id
2020,A Igreja do Diabo,The Devil's Church,short story,0,M Prado,null,null,null,
1970,A Mão e a Luva,The Hand & the Glove,novel,0,Albert I. Bagby Jr.,University Press of Kentucky,Lexington,USA,RO002TR01
2010,Casa Velha,Casa Velha: The Old House,novel,0,Mark Carlyon,Cidade Viva,Rio de Janeiro,Brazil,RO006TR01
1953,Dom Casmurro,Dom Casmurro: A Novel,novel,0,Helen Caldwell,Noonday Press,Noonday Press,USA,RO008TR01
1992,Dom Casmurro,Lord Taciturn,novel,0,Robert Scott-Buccleuch,Peter Owen,London,UK,RO008TR02
1997,Dom Casmurro,Dom Casmurro,novel,0,John Gledson,Oxford University Press,Oxford,UK,RO008TR03
2018,Dom Casmurro,Dom Casmurro: English Edition,novel,0,Neil McArthur,Lexicos Books,null,null,RO008TR04
1965,Esaú e Jacó,Esau and Jacob,novel,0,Helen Caldwell,University of California Press,Los Angeles,USA,RO009TR01
2000,Esaú e Jacó,Esau and Jacob,novel,0,Elizabeth Lowe,Oxford University Press,Oxford,UK,RO009TR02
1984,Helena,Helena: A Novel,novel,0,Helen Caldwell,University of California Press,Los Angeles,USA,RO003TR01
1976,Iaiá Garcia,Yayá Garcia: A Novel,novel,0,Robert Scott-Buccleuch,Peter Owen,London,UK,RO004TR01
1977,Iaiá Garcia,Iaiá Garcia,novel,0,Albert I. Bagby Jr.,University Press of Kentucky,Lexington,USA,RO004TR02
1972,Memorial de Aires,Counselor Ayres's Memorial,novel,0,Helen Caldwell,University of California Press,Los Angeles,USA,RO010TR01
1990,Memorial de Aires,The Wager: Aires' Journal,novel,0,Robert Scott-Buccleuch,Peter Owen,London,UK,RO010TR02
1951,Memórias Póstumas de Brás Cubas,The Posthumous Memoirs of Braz Cubas,novel,0,William Grossman,São Paulo editores,São Paulo,Brazil,RO005TR01
1955,Memórias Póstumas de Brás Cubas,Posthumous Reminiscences of Braz Cubas,novel,0,Percy Ellis,Instituto Nacional do Livro,Rio de Janeiro,Brazil,RO005TR02
1997,Memórias Póstumas de Brás Cubas,The Posthumous Memoirs of Bras Cubas,novel,0,Gregory Rabassa,Oxford University Press,Oxford,UK,RO005TR03
2018,Memórias Póstumas de Brás Cubas,Posthumas Memories in Braz Cubas,novel,0,null,Readers Corner,null,null,RO005TR04
2018,Memórias Póstumas de Brás Cubas,The Posthumous Memoirs of Brás Cubas,novel,0,Neil McArthur,Lexicos Books,null,null,RO005TR05
2020,Memórias Póstumas de Brás Cubas,Posthumous Memoirs of Brás Cubas: A Novel,novel,0,Flora Thomson-DeVeaux,Peguin Classics,New York,USA,RO005TR06
2020,Memórias Póstumas de Brás Cubas,The Posthumous Memoirs of Brás Cubas,novel,0,Margaret Jull Costa; Robin Patterson,Liveright & Company,New York,USA,RO005TR07
1921,null,Brazilian Tales,short story,1,Isaac Goldberg,The Four Seas Company,Boston,USA,
1963,null,"The Psychiatrist, and Other Stories",short story,1,William Grossman; Helen Caldwell,University of California Press,Los Angeles,USA,
1977,null,The Devil's Church and Other Stories,short story,1,Jack Schmitt; Lorie Ishimatsu,University of Texas Press,Austin,USA,
